,Body,Label
0,"
This is an automatically generated email from our subscription list. Please do
not reply to this email. If you wish to unsubscribe,click here",1
1,"Special Caribbean bonus + 75% off 2nd guest + up to $1,600 savings + more.

  Browser View >  CALL US AT: 1-888-752-7762

THE PERFECT TIME FOR ISLAND TIME IS NOW
Choose from a wide variety of Caribbean sailings aboard our award-winning fleet,
including our revolutionary Edge Series^® ships. We’ve created new itineraries
that visit more than 20 countries and 30 ports of call and offer even more time
ashore so you can spend your vacation unwinding on island time. Our sailings in
the tropics have something to satisfy every island-hopping traveler.

Why wait? Book now. This limited time bonus offer ends March 6.
                         VIEW ALL CARIBBEAN ITINERARIES
               FROM WEEKEND ADVENTURES TO ISLAND HOPPING ODYSSEES

CALL 1-888-752-7762 • CONTACT YOUR TRAVEL ADVISOR  • VISIT CELEBRITY.COM
  GET TEXT ALERTS ABOUT OUR LATEST                 SIGN UP HERE
       OFFERS, NEWS, SAILINGS, AND MORE.
#CELEBRITYCRUISES        
           MANAGE PREFERENCES  | FORWARD TO A FRIEND  | UNSUBSCRIBE

* Cruise must be booked 03/02/2023 – 05/02/2023 (the “Offer Period”) and applies
to 3-night and longer sailings departing 03/04/2023 - 04/30/2025, excluding
Galapagos (the “Offer Cruise”). Promo code not required.

Full deposit must be paid by deposit payment required due date. Standard full
deposit penalty is applied if booking is cancelled within final payment period;
see CEL’s cancellation policy for details. Non-Refundable Deposit Bookings
(“NRDB”): To qualify for the lowest available cruise fare, guest must choose a
non-refundable deposit. All deposit payments for NRDB made after 03/02/23 are
non-refundable from the time of booking. NRDB are applicable to groups at
prevailing rates. Not applicable to incentive, contract, or charter groups.
Nonrefundable deposit offers are applicable to sailings within final payment,
however full deposit is due at time of booking.

Bonus OBC Offer: Cruise must be booked Mar. 02 – 06, 2023 (the “Offer Period”)
and applies to 3-night and longer sailings departing 03/04/23 – 04/30/25. OBC
amounts are $50 per stateroom for verandas, Concierge Class, AquaClass® and the
Retreat. OBC amount will be credited to guests’ stateroom folios. OBC has no
cash value, is applicable to cruise only, non-transferable, not redeemable for
cash, and will expire if not used by 10:00 PM on the final night of the cruise.
Bonus OBC Offer is combinable with BOGO 50% Off 2nd Guest Offer for Refundable
Fares or BOGO 75% Off 2nd Guest Offer for Non-Refundable Fares, Overlay Savings
and No Perk Rate or All Included and Cruisetours. Applicable to all prevailing
Group rates that are named during the booking period. Not applicable to
Galapagos.

BOGO 50% Off 2nd Guest Offer are for Refundable fares only. Applies to new,
individual bookings during the Offer Period and provides 50% off cruise fare on
the 2nd guest in the same stateroom as the first full fare guest sailing at
standard rates on an Offer Cruise. BOGO 50% Off 2nd Guest Offer is combinable
with Savings Offer, All Included or No Perk Rate, and will be automatically
applied at checkout. All other charges, including but not limited to, cruise
taxes, fees and port expenses are additional and apply to all guests. BOGO offer
is not applicable to Group X rates.

BOGO 75% Off 2nd Guest Offer are for Non-Refundable fares only. Applies to new,
individual bookings during the Offer Period and provides 75% off cruise fare on
the 2nd guest only in the same stateroom as the first full fare guest sailing at
standard rates on an Offer Cruise. BOGO 75% Off 2nd Guest Offer is combinable
with Savings Offer, All Included or No Perk Rate, and will be automatically
applied at checkout. All other charges, including but not limited to, cruise
taxes, fees and port expenses are additional and apply to all guests. BOGO offer
is not applicable to Group X rates.

Savings Offer: - Cruise Savings are per person and vary by sailing length: 3 to
5 Nights $100 savings pp ($400 per quad occupancy stateroom); 6 to 9 Nights $200
savings pp ($800 per quad occupancy stateroom); 10 Nights and longer $400
savings pp ($1,600 per quad occupancy stateroom). Savings Offer is combinable
with BOGO 50% Off 2nd Guest Offer for Refundable Fares or BOGO 75% Off 2nd Guest
Offer for Non-Refundable Fares, No Perk Rate or All Included and Cruisetours.

No Perk Rate: Cruise fare amounts are per person and vary by sailing length. No
Perk Rate is combinable with BOGO 50% 2nd Guest Offer for Refundable fares or
BOGO 75% Off 2nd Guest Offer for Non-Refundable fares, OBC Offer, and Savings
Offer. No Perk Rate is applicable to all guests in the same stateroom in inside,
ocean view, veranda, and Concierge staterooms and will be automatically applied
at checkout. No Perk Rate is not combinable with All Included and excludes Aqua
and Retreat staterooms. No Perk Rate is available for refundable and
non-refundable bookings. All guests in the same stateroom must choose the same
rate. All other charges, including but not limited to, cruise taxes, fees and
port expenses are additional and apply to all guests. No Perk rate offer is not
applicable to Group X rates. All Included applies to inside, ocean view,
veranda, or Concierge Class staterooms who book with the All Included Rate
(“Eligible Bookings”). All guests in an Eligible Booking who choose the “All
Included” pricing package will receive a Classic Drink Package, Gratuities
(“Tips”) Included, and an unlimited Basic Wi-Fi package. All guests in an
AquaClass® stateroom will receive a Classic Drink Package, Tips Included and an
unlimited Basic Wi-Fi Package. All guests in The Retreat will receive a Premium
Drink Package, Tips Included, OBC and a Premium Wi-Fi package. OBC amount varies
by length of sailing. All guests in the same stateroom must choose the same
rate.

Offer is not combinable with Interline, Net, Travel Partner, Exciting Deals, and
Employee Rates. Refer to celebritycruises.com and the Cruise Ticket Contract for
additional terms and conditions. Changes to booking may result in removal of
offer. Offers and prices are subject to availability, cancellation, and change
without prior notice at any time.

©2023 Celebrity Cruises Inc. Ship's registry: Malta and Ecuador.

If you wish to change your preferences or opt to be excluded from future
commercial e-mails from Celebrity Cruises, click here or visit: Celebrity.com.

We hope you enjoyed this e-mail from:
Celebrity Cruises Inc.
1050 Caribbean Way
Miami, FL 33132
www.celebrity.com

Privacy Policy",1
2,"Your stay at Motel 6 Gulfport, MS – Airport has been confirmed.
Hopper confirmation: Q5HHZ2NCX25T
Reservation code: 9152802458655

Manage Your Booking In App

Motel 6 Gulfport, MS – Airport

9355 US 49, Gulfport, MS, US
1-228-295-0313

Reservation Details

Check In:   Tuesday, March 7, 2023 at 3:00 PM
Check Out:  Wednesday, March 8, 2023 at 11:00 AM
Your Stay:  1 day, 1 room

Guest Information:  Christopher Campbell

You might be required to be at least 21 years old to check-in at
this hotel, contact the hotel for more information.

If the hotel cannot locate your reservation by guest name,
please provide the following reservation code:
Reservation code: 9152802458655

Room Type

Standard Room, 2 Double Beds, Non Smoking

Check-in Instructions

This property doesn't allow you to check in after 3:00 AM.

You might be required to be at least 21 years old to check-in at
this hotel, contact the hotel for more information.

Instructions
- Extra-person charges may apply and vary depending on property
policy
- Government-issued photo identification and a credit card may
be required at check-in for incidental charges
- Special requests are subject to availability upon check-in and
may incur additional charges; special requests cannot be
guaranteed
- Safety features at this property include a smoke detector
- Be prepared: check the latest COVID-19 travel requirements and
measures in place for this destination before you travel.

Special Check-In Instructions
This property doesn't offer after-hours check-in. Front desk
staff will greet guests on arrival.

Policies
- Guests can arrange to bring pets by contacting the property
directly, using the contact information on the booking
confirmation.
- This property advises that enhanced cleaning and guest safety
measures are currently in place.
- Disinfectant is used to clean the property, and
commonly-touched surfaces are cleaned with disinfectant between
stays.
- Social distancing measures are in place; staff at the property
wear personal protective equipment; a shield is in place between
staff and guests in main contact areas.

Fees
You'll be asked to pay the following charges at the property:
- Deposit: USD 50 per night
We have included all charges provided to us by the property.

Booking Info
Price Details
Room (1 night):                                          $62.82
Wallet Balance Applied                                   -$66.00
Taxes and Fees:                                          $6.96
Trip Total                                               $3.78

Payment Info
        ••••1615
        Allison Campbell
        2/2027

Restrictions
Cancellation: Free Cancellation until Mar 6
Cancellations or changes made after Mar 6 2023 6:00 PM (-06:00)
are subject to a fee equal to the first 1 night's rate plus
taxes and fees.

Check-in: - Extra-person charges may apply and vary depending on
property policy - Government-issued photo identification and a
credit card may be required at check-in for incidental charges -
Special requests are subject to availability upon check-in and
may incur additional charges; special requests cannot be
guaranteed - Safety features at this property include a smoke
detector - Be prepared: check the latest COVID-19 travel
requirements and measures in place for this destination before
you travel.

Room type: Allowing additional guests is up to the discretion of
the hotel.

By booking this trip, you agree to the hotel’s rate; the hotel's
terms and conditions including all applicable restrictions; and
Hopper's Terms & Conditions and Privacy Policy. Carrot Cash
Discounts are one-time use and non-refundable.

For any questions you can contact us through live chat directly
in your app.

 Need Help?

 For any questions, check out our FAQs or submit a request from
 your booking in the app!
 For changes and cancellations:
 Visit the Trip Summary in app
 To contact the hotel directly:
 1-228-295-0313

        Manage Your Booking In App

Thanks for using Hopper! Have a great trip!
Copyright 2016 - 2023 Hopper. All rights reserved.
",1
3,"Easy access compartments that are so straightforward, even a kid could use them.
Say goodbye to fumbling around.

                                     If you cannot see images, please click here

Mountain Cross Bag by Topo Designs

The Mountain Cross Bag comes with a host of cross-functional features built in
and made with durable, lightweight recycled nylon. This messenger style sling
bag features a laptop sleeve, a ton of organization pockets, webbing straps,
gear loops, and the ability to swap around the shoulder strap to carry over
either shoulder. The Mountain Cross Bag is built for the everyday carry, and
much more.

Features & Specs

Removable shoulder strap & crossbody strap

2 exterior bottle holders Interior pocket organization

Padded laptop sleeve

100% lightweight recycled nylon

                                    SHOP NOW

                       SHOP THE NEWNESS FROM TOPO DESIGNS

                                    STALK US

                                    FIND US

The Bag Creature

57 Joo Chiat Pl

http://www.thebagcreature.com

This email was sent to caleb2411@gmail.com because you've subscribed on our site
or made a purchase.

Unsubscribe | Edit preferences",1
4,"    Save 63% on the 1599 Geneva Bible. Hurry and save before time runs out!

Beat the Clock Extended                                         View in browser

                                1599 Geneva Bible

 When it was first printed, the Geneva Bible was the most reader-friendly
 version of the Bible ever translated, with numerous innovations making it ideal
 for the common reader.

 The Geneva Bible was the first English Bible to use cross-references and the
 first to use verse numbers for easy reference and memorization. It was the
 first English Bible to translate the Old Testament directly out of the Hebrew
 and the first to be printed in Roman (rather than Gothic) type for easy
 reading. It was the first English Bible published for the common man and the
 first ""study Bible"" with extensive notes throughout to help explain and apply
 the text. It was also the Bible that the Pilgrims brought to America on the
 Mayflower.

                              Regular Price: $29.99
                               Sale Price: $10.99

              Buy Now!

                               Holman Commentary:
                            New Testament (12 Vols.)

 The unique format of the Holman New Testament Commentary Series is designed to
 encourage new interest in the Scriptures, expanded Bible knowledge, and
 discovery of specific scriptural principles and relevant applications.

 This resource for local church Bible teaching will enrich the ministry of group
 and individual Bible study, and lead God's people to truly be people of the
 Book, living out what God calls us to be.

                             Regular Price: $167.88
                               Sale Price: $34.99

              Buy Now!

                        Browse Entire Sale

              Discounts End March 13, 2023 at 11:59PM Pacific Time

Products and discounts listed above are available at OliveTree.com. Product and
Discount availability may vary for in-app purchases. All prices are listed in
USD and are exclusive of any applicable taxes. Some items not available for all
regions or platforms.

Copyright © 2023 Olive Tree Bible Software, All rights reserved.
You’ve received this email as a subscriber to the Olive Tree Newsletter.
Our mailing address is:
Olive Tree Bible Software
P.O. Box 48271
Spokane, WA 99228
United States

                           unsubscribe from this list",1
5,"                      THINGS TO DO

                              FESTIVALS AND EVENTS

                                                    ROADTRIPS

RICHMOND PARKS EGG HUNT
Saturday, April 1
Richmond

Learn More

BEER VS WINE 5K
Saturday, April 8
Washington Street, Indianapolis

Learn More

SPRING SHOWDOWN AT TRI-STATE SPEEDWAY
Saturday, April 15
Tri-State Speedway, Haubstadt

Learn More

GLASS WORKSHOP: FUSED GLASS JEWELRY
Thursday, April 20
Minnetrista Museum and Gardens, Munice

Learn More

NORTHWEST INDIANA EARTH DAY CELEBRATION
Saturday, April 22
Porter County Fairgrounds, Valparaiso

Learn More

FLOWER & GARDEN SHOW OF CARROLL COUNTY
Saturday, April 22
Carroll County Event and Education Center, Flora

Learn More

SASSAFRAS TEA FESTIVAL & CIVIL WAR LIVING HISTORY
April 22-23
Jennings County Courthouse, Vernon

Learn More

CORYDON EXTRAVAGANZA
April 22-23
Harrison County Fairgrounds, Corydon

Learn More

SENSORY FRIENDLY AFTERNOON
Sunday, April 23
Indiana State Museum, Indianapolis

Learn More

BRIAN REGAN LIVE
Thursday, April 27
Blue Gate Theatre, Shipshewana

Learn More

CROSSROADS ACOUSTIC MUSIC FESTIVAL
April 28-29
Downtown, Seymour

Learn More

                          HEALTHY KIDS DAY
                          Saturday, April 29
                          YMCA, Portage

                          Learn More

MANSFIELD VILLAGE MUSHROOM FESTIVAL AND CAR SHOW
April 29-30
Mansfield Village Bar & Grill, Jackson

Learn More

WAKARUSA MAPLE SYRUP FESTIVAL
April 28-30
Fire Deparment, Wakarusa

Learn More

                                 SEE MORE TO DO

                SEE ALL THERE IS TO EXPLORE AT VISITINDIANA.COM

The Indiana Destination Development Corporation is dedicated to promoting,
branding and telling Indiana’s authentic story to both attract and retain
talent, graduates, and visitors in our great state.

© Copyright 2023 Indiana Destination Development Corporation

The email was sent by: Indiana Destination Development Corporation, 143 West
Market Street, Suite 700, Indianapolis, IN 46204-2288 USA

You are receiving this email because caleb2411@gmail.com is signed up to receive
email from the Indiana Destination Development Corporation.

Indiana Destination Development Corporation, 143 W. Market St., Suite 700,
Indianapolis, IN 46204, United States

                                                              CONNECT IN INDIANA

                                 Privacy Policy

                                       Unsubscribe",1
6," This 90-day view is all yours.                             View in web browser

                               Say hi to health metrics

  This dashboard is the fastest way to know your body better. Don't miss
       the 90-day view of the trends that make you, you.¹

       Learn more
                               Breathing rate

       You might not see big changes from night to night, but look out for small
       ones as a sign your body needs more oxygen.
                           Heart rate variability

       This is the time between heartbeats. If you notice a downward trend over
       multiple nights, give your body the rest & recovery it may need.
                             Resting heart rate

       This metric tells you about your fitness & cardiovascular health. If you
       see a sudden increase, consider hydrating & resting.
             Learn more ➔
Did you know? Fitbit is now part of Google.
Learn more ➔
¹The Health Metrics dashboard and the metrics displayed in the dashboard are not
available in all countries and for all devices. This feature is not intended to
  diagnose or treat any medical condition and should not be relied on for any
 purposes. It is intended to provide information that can help you manage your
    well-being. If you have any concerns about your health, please talk to a
                              healthcare provider.
                                BLOG UNSUBSCRIBE
 Fitbit, the Fitbit logo, and related marks and logos are trademarks of Google
                           LLC and/or its affiliates.
                 © 2023 Google LLC, 1600 Amphitheatre Parkway,
                     Mountain View, CA 94043, United States",1
7," There’s never been a better time to upgrade.               View in web browser
                                                                      
Offer ends 24 March
                            Refresh your motivation
Save $80 on Charge 5 or $60 on Luxe.¹ Plus, get a free band & a 6-month Premium
membership to help you hit your goals.²

Use your unique code at checkout:
3hp3dhepxj
                                    
                Charge 5                                  Luxe

$238                                     $198

$158                                     $138

Shop now ➔                               Shop now ➔
       How to get your free band

       1. Add Charge 5 or Luxe to your cart.
       2. Add a Charge 5 sport band or Luxe classic band to your cart.
       3. Use code 3hp3dhepxj at checkout.

       Shop Charge 5 ➔

       Shop Luxe ➔

  Shop bands ➔
Did you know? Fitbit is now part of Google.
Learn more ➔
Shopping at Fitbit.c‌om has its perks

 Free shipping on orders S$50+       45 day money back  1 year limited warranty*
                                     guarantee*

 Free shipping on orders S$50+
 45 day money back guarantee*
     1 year limited warranty*
                      *Applies to devices and accessories.

   ¹Offer limited to user email recipients and only one discount code can be
 activated per recipient of the offer. Offer expires 24 March, 2023 at 11:59 pm
   SGT and is limited to purchases of: (i) one (1) Fitbit Charge 5 or one (1)
 Fitbit Luxe and (ii) one (1) Charge 5 sport band or one (1) Luxe classic band.
Offer cannot be combined with other discounts or applied after an order has been
        placed. Terms of offer subject to change. Void where prohibited.
²New and returning Premium members only. Must activate membership within 60 days
 of device activation (requires valid payment method). Cancel before membership
   ends to avoid recurring fees. Content and features may change. T&C apply.
      BLOG

      UNSUBSCRIBE
Fitbit, the Fitbit logo, and related marks and logos are trademarks of Google
LLC and/or its affiliates.
                 © 2023 Google LLC, 1600 Amphitheatre Parkway,
                     Mountain View, CA 94043, United States",1
8," Get closer to hitting those goals.                         View in web browser
                                                                      
Upgrade and get a free band¹
                        Save up to $80 on a new tracker
Charge 5 or Luxe? Each has tools to help track sleep, heart health & stress,
including 6 months of Premium.²

Use your unique code at checkout:
3hp3dhepxj
                                    
                Charge 5                                  Luxe

$238                                     $198

$158                                     $138

Shop now ➔                               Shop now ➔
       How to get your free band

       1. Add Charge 5 or Luxe to your cart.
       2. Add a Charge 5 sport band or Luxe classic band to your cart.
       3. Use code 3hp3dhepxj at checkout.

       Shop Charge 5 ➔

       Shop Luxe ➔

  Shop bands ➔
Did you know? Fitbit is now part of Google.
Learn more ➔
Shopping at Fitbit.c‌om has its perks

 Free shipping on orders S$50+       45 day money back  1 year limited warranty*
                                     guarantee*

 Free shipping on orders S$50+
 45 day money back guarantee*
     1 year limited warranty*
                      *Applies to devices and accessories.

The Fitbit ECG app is only available in selected countries. Not intended for use
         by people under 22 years old. See here for additional details.

   ¹Offer limited to user email recipients and only one discount code can be
 activated per recipient of the offer. Offer expires 24 March, 2023 at 11:59 pm
   SGT and is limited to purchases of: (i) one (1) Fitbit Charge 5 or one (1)
 Fitbit Luxe and (ii) one (1) Charge 5 sport band or one (1) Luxe classic band.
Offer cannot be combined with other discounts or applied after an order has been
        placed. Terms of offer subject to change. Void where prohibited.
²New and returning Premium members only. Must activate membership within 60 days
 of device activation (requires valid payment method). Cancel before membership
   ends to avoid recurring fees. Content and features may change. T&C apply.
                                BLOG UNSUBSCRIBE
 Fitbit, the Fitbit logo, and related marks and logos are trademarks of Google
                           LLC and/or its affiliates.
                 © 2023 Google LLC, 1600 Amphitheatre Parkway,
                     Mountain View, CA 94043, United States",1
9," Get a free band when you upgrade.                          View in web browser
                                                                      
Offer ends 24 March¹
                        $80 off Charge 5 or $60 off Luxe
You’ll also get a free band and 6 months of Premium.²

Use your unique code at checkout:
3hp3dhepxj
                                    
                Charge 5                                  Luxe

$238                                     $198

$158                                     $138

Shop now ➔                               Shop now ➔
       How to get your free band

       1. Add Charge 5 or Luxe to your cart.
       2. Add a Charge 5 sport band or Luxe classic band to your cart.
       3. Use code 3hp3dhepxj at checkout.

       Shop Charge 5 ➔

       Shop Luxe ➔

  Shop bands ➔
Did you know? Fitbit is now part of Google.
Learn more ➔
Shopping at Fitbit.c‌om has its perks

 Free shipping on orders S$50+       45 day money back  1 year limited warranty*
                                     guarantee*

 Free shipping on orders S$50+
 45 day money back guarantee*
     1 year limited warranty*
                      *Applies to devices and accessories.

   ¹Offer limited to user email recipients and only one discount code can be
 activated per recipient of the offer. Offer expires 24 March, 2023 at 11:59 pm
   SGT and is limited to purchases of: (i) one (1) Fitbit Charge 5 or one (1)
 Fitbit Luxe and (ii) one (1) Charge 5 sport band or one (1) Luxe classic band.
Offer cannot be combined with other discounts or applied after an order has been
        placed. Terms of offer subject to change. Void where prohibited.
²New and returning Premium members only. Must activate membership within 60 days
 of device activation (requires valid payment method). Cancel before membership
   ends to avoid recurring fees. Content and features may change. T&C apply.
      BLOG

      UNSUBSCRIBE
Fitbit, the Fitbit logo, and related marks and logos are trademarks of Google
LLC and/or its affiliates.
                 © 2023 Google LLC, 1600 Amphitheatre Parkway,
                     Mountain View, CA 94043, United States",1
